ID,title,booktitle,author,pages,year,organization,ENTRYTYPE,publisher,journal,number,volume
2833,Gconnect: A connectivity index for massive disk-resident graphs,,"Aggarwal, Charu and Xie, Yan and Yu, Philip S",862--873,2009,,article,VLDB Endowment,Proceedings of the VLDB Endowment,1,2
2834,The S-tree: an efficient index for multidimensional objects,Advances in Spatial Databases,"Aggarwal, Charu and Wolf, Joel and Yu, Philip and Epelman, Marina",350--373,1997,,incollection,Springer Berlin Heidelberg,,,
2835,Method and apparatus for representing and managing service level agreement management data and relationships thereof,,"Buco, Melissa and Chang, Rong and Luan, Laura and Shae, Zon-Yin and Ward, Christopher and Wolf, Joel and Yu, Philip",,2004,,misc,,,,
2836,Performance analysis of buffer coherency policies in a multisystem data sharing environment,,"Dan, Asit and Yu, Philip S",289--305,1993,,article,IEEE,"Parallel and Distributed Systems, IEEE Transactions on",3,4
2837,Decision tree evolution using limited number of labeled data items from drifting data streams,"Data Mining, 2004. ICDM'04. Fourth IEEE International Conference on","Fan, Wei and Huang, Yi-an and Yu, Philip S",379--382,2004,IEEE,inproceedings,,,,
2838,"System and method for"" swaps"" style risk products based on network enabled aggregation",,"Greene, David and Boies, Stephen and Dinkin, Samuel and Moskowitz, Paul and Yu, Philip",,2000,,misc,,,,
2839,On general results for all-to-all broadcast,,"Chen, Ming-Syan and Chen, Jeng-Chun and Yu, Philip S",363--370,1996,,article,IEEE,"Parallel and Distributed Systems, IEEE Transactions on",4,7
2840,Database access characterization for buffer hit prediction,"Data Engineering, 1993. Proceedings. Ninth International Conference on","Dan, Asit and Yu, Philip S and Chung, Jen-Yao",134--143,1993,IEEE,inproceedings,,,,
2841,Impact of large memory on the performance of optimistic concurrency control schemes,"Databases, Parallel Architectures and Their Applications,. PARBASE-90, International Conference on","Yu, Philip S and Dias, Daniel M",86--90,1990,IEEE,inproceedings,,,,
2842,Mining extremely skewed trading anomalies,Advances in Database Technology-EDBT 2004,"Fan, Wei and Philip, S Yu and Wang, Haixun",801--810,2004,,incollection,Springer Berlin Heidelberg,,,
2843,Inferring the impacts of social media on crowdfunding,Proceedings of the 7th ACM international conference on Web search and data mining,"Lu, Chun-Ta and Xie, Sihong and Kong, Xiangnan and Yu, Philip S",573--582,2014,ACM,inproceedings,,,,
2844,Supporting multi-party voice-over-IP services with peer-to-peer stream processing,Proceedings of the 13th annual ACM international conference on Multimedia,"Gu, Xiaohui and Wen, Zhen and Yu, Philip S and Shae, Zon-Yin",303--306,2005,ACM,inproceedings,,,,
2845,Mining knowledge from interconnected data: a heterogeneous information network analysis approach,,"Sun, Yizhou and Han, Jiawei and Yan, Xifeng and Yu, Philip S",2022--2023,2012,,article,VLDB Endowment,Proceedings of the VLDB Endowment,12,5
2846,Guest Editors' Introduction: Social Computing in the Blogosphere,,"Liu, Huan and Yu, Philip S and Agarwal, Nitin and Suel, Torsten",12--14,2010,,article,IEEE,"Internet Computing, IEEE",2,14
2847,Storage optimization for large-scale distributed stream-processing systems,,"Hildrum, Kirsten and Douglis, Fred and Wolf, Joel L and Yu, Philip S and Fleischer, Lisa and Katta, Akshay",5,2008,,article,ACM,ACM Transactions on Storage (TOS),4,3
2848,On wavelet decomposition of uncertain time series data sets,Proceedings of the 19th ACM international conference on Information and knowledge management,"Zhao, Yuchen and Aggarwal, Charu and Yu, Philip",129--138,2010,ACM,inproceedings,,,,
2849,STAMP: On Discovery of Statistically Important Pattern Repeats in Long Sequential Data.,SDM,"Yang, Jiong and Wang, Wei and Philip, S Yu",224--235,2003,,inproceedings,,,,
2850,Fast burst correlation of financial data,Knowledge Discovery in Databases: PKDD 2005,"Vlachos, Michail and Wu, Kun-Lung and Chen, Shyh-Kwei and Philip, S Yu",368--379,2005,,incollection,Springer Berlin Heidelberg,,,
2851,On incremental processing of continual range queries for location-aware services and applications,"Mobile and Ubiquitous Systems: Networking and Services, 2005. MobiQuitous 2005. The Second Annual International Conference on","Wu, Kun-Lung and Chen, Shyh-Kwei and Yu, Philip S",261--269,2005,IEEE,inproceedings,,,,
2852,On accuracy improvement and applicability conditions of diffusion approximation with applications to modelling of computer systems,,"Yu, Philip S",,1977,,article,Stanford University,,,
2853,Behavior computing,,"Cao, Longbing and Yu, SP",,2012,,book,"Springer, New York",,,
2854,Mining interesting user behavior patterns in mobile commerce environments,,"Shie, Bai-En and Philip, S Yu and Tseng, Vincent S",418--435,2013,,article,Springer US,Applied intelligence,3,38
2855,One-class learning and concept summarization for data streams,,"Zhu, Xingquan and Ding, Wei and Philip, S Yu and Zhang, Chengqi",523--553,2011,,article,Springer-Verlag,Knowledge and Information Systems,3,28
2856,Performance comparison of IO shipping and database call shipping: schemes in multisystem partitioned databases,,"Philip, S Yu and Cornell, Douglas and Dias, Daniel M and Thomasian, Alexander",15--33,1989,,article,North-Holland,Performance Evaluation,1,10
2857,The role of wait tolerance in effective batching: A paradigm for multimedia scheduling schemes,,"Shachnai, Hadas and Philip, S Yu",,1995,,book,IBM TJ Watson Research Center,,,
2858,Performance analysis of dynamic finite versioning for concurrent transaction and query processing,ACM SIGMETRICS Performance Evaluation Review,"Merchant, Arif and Wu, Kun-Lung and Yu, Philip S and Chen, Ming-Syan",103--114,1992,ACM,inproceedings,,,1,20
2859,On clustering massive data streams: a summarization paradigm,Data Streams,"Aggarwal, Charu C and Han, Jiawei and Wang, Jianyong and Philip, S Yu",9--38,2007,,incollection,Springer US,,,
2860,On coupling multiple systems with a global buffer,,"Chen, Ming-Syan and Yu, Philip S and Yang, Tao-Heng",339--344,1996,,article,IEEE,"Knowledge and Data Engineering, IEEE Transactions on",2,8
2861,Query indexing with containment-encoded intervals for efficient stream processing,,"Wu, Kun-Lung and Chen, Shyh-Kwei and Philip, S Yu",62--90,2006,,article,Springer-Verlag,Knowledge and Information Systems,1,9
2862,Multi-label feature selection for graph classification,"Data Mining (ICDM), 2010 IEEE 10th International Conference on","Kong, Xiangnan and Yu, Philip S",274--283,2010,IEEE,inproceedings,,,,
2863,Apparatus and method for performing adaptive similarity searching in a sequence database,,"Castelli, Vittorio and Li, Chung Sheng and Yu, Philip Shi-lung",,1998,,misc,,,,
2864,A general framework for accurate and fast regression by data summarization in random decision trees,Proceedings of the 12th ACM SIGKDD international conference on Knowledge discovery and data mining,"Fan, Wei and McCloskey, Joe and Yu, Philip S",136--146,2006,ACM,inproceedings,,,,
2865,Hetesim: A general framework for relevance measure in heterogeneous networks,,"Shi, Chuan and Kong, Xiangnan and Huang, Yue and Yu, Philip S and Wu, Bin",2479--2492,2014,,article,IEEE,"Knowledge and Data Engineering, IEEE Transactions on",10,26
2866,Concurrency control using locking with deferred blocking,"Data Engineering, 1990. Proceedings. Sixth International Conference on","Yu, Philip S and Dias, Daniel M",30--36,1990,IEEE,inproceedings,,,,
2867,Processing high data rate streams in System S,,"Andrade, Henrique and Gedik, Bugra and Wu, K-L and Yu, Philip S",145--156,2011,,article,Academic Press,Journal of Parallel and Distributed Computing,2,71
2868,Consumption-based buffer management for maximizing system throughput of a multimedia system,"Multimedia Computing and Systems, 1996., Proceedings of the Third IEEE International Conference on","Wu, Kun-Lung and Yu, Philip S",164--171,1996,IEEE,inproceedings,,,,
2869,A hierarchical approach to parallel multiquery scheduling,,"Wolf, Joel L and Turek, John and Chen, Ming-Syan and Yu, Philip S",578--590,1995,,article,IEEE,"Parallel and Distributed Systems, IEEE Transactions on",6,6
2870,"Finding"" who is talking to whom"" in voip networks via progressive stream clustering","Data Mining, 2006. ICDM'06. Sixth International Conference on","Verscheure, Olivier and Vlachos, Michail and Anagnostopoulos, Aris and Frossard, Pascal and Bouillet, Eric and Yu, Philip S",667--677,2006,IEEE,inproceedings,,,,
2871,On modeling database concurrency control,,"Yu, PS and Dias, DM and Lavenberg, SS",,1990,,book,IBM Thomas J. Watson Research Division,,,
2872,CellJoin: a parallel stream join operator for the cell processor,,"Gedik, Bu{\u{g}}ra and Bordawekar, Rajesh R and Philip, S Yu",501--519,2009,,article,Springer-Verlag,The VLDB journal,2,18
2873,k-Support anonymity based on pseudo taxonomy for outsourcing of frequent itemset mining,Proceedings of the 16th ACM SIGKDD international conference on Knowledge discovery and data mining,"Tai, Chih-Hua and Yu, Philip S and Chen, Ming-Syan",473--482,2010,ACM,inproceedings,,,,
2874,Efficient state estimators for load control policies in scalable Web server clusters,"Computer Software and Applications Conference, 1998. COMPSAC'98. Proceedings. The Twenty-Second Annual International","Cardellini, Valeria and Colajanni, Michele and Yu, Philip S",449--455,1998,IEEE,inproceedings,,,,
2875,Correlated network data publication via differential privacy,,"Chen, Rui and Fung, Benjamin C and Yu, Philip S and Desai, Bipin C",653--676,2014,,article,"Springer-Verlag New York, Inc.",The VLDB Journal—The International Journal on Very Large Data Bases,4,23
2876,Scalable processing of spatial alarms,High Performance Computing-HiPC 2008,"Bamba, Bhuvan and Liu, Ling and Philip, S Yu and Zhang, Gong and Doo, Myungcheol",232--244,2008,,incollection,Springer Berlin Heidelberg,,,
2877,System and method for preparation of personal income taxes,,"Stern, Edith and Dinkin, Sam and Greene, David and Grey, William and Moskowitz, Paul and Yu, Philip",,2001,,misc,,,,
2878,On coupling partitioned database systems,ICDCS,"Philip, S Yu and Cornell, Douglas W and Dias, Daniel M and Thomasian, Alexander",148--157,1986,,inproceedings,,,,
2879,Efficient mining of a concise and lossless representation of high utility itemsets,"Data Mining (ICDM), 2011 IEEE 11th International Conference on","Wu, Cheng Wei and Fournier-Viger, Philippe and Yu, Philip S and Tseng, Vincent S",824--833,2011,IEEE,inproceedings,,,,
2880,Detecting abnormal coupled sequences and sequence changes in group-based manipulative trading behaviors,Proceedings of the 16th ACM SIGKDD international conference on Knowledge discovery and data mining,"Cao, Longbing and Ou, Yuming and Yu, Philip S and Wei, Gang",85--94,2010,ACM,inproceedings,,,,
2881,"Apparatus, system and method for a remotely monitored and operated avatar",,"Boies, Stephen and Dinkin, Samuel and Greene, David and Grey, William and Moskowitz, Paul and Yu, Philip",,2001,,misc,,,,
2882,Relational clustering by symmetric convex coding,Proceedings of the 24th international conference on Machine learning,"Long, Bo and Zhang, Zhongfei Mark and Wu, Xiaoyun and Yu, Philip S",569--576,2007,ACM,inproceedings,,,,
2883,Privacy-preserving singular value decomposition,"Data Engineering, 2009. ICDE'09. IEEE 25th International Conference on","Han, Shuguo and Ng, Wee Keong and Yu, Philip S",1267--1270,2009,IEEE,inproceedings,,,,
2884,A survey of randomization methods for privacy-preserving data mining,Privacy-Preserving Data Mining,"Aggarwal III, Charu C and Philip, S Yu",137--156,2008,,incollection,Springer US,,,
2885,gMLC: a multi-label feature selection framework for graph classification,,"Kong, Xiangnan and Philip, S Yu",281--305,2012,,article,Springer-Verlag,Knowledge and information systems,2,31
2886,Mining patterns in long sequential data with noise,,"Wang, Wei and Yang, Jiong and Yu, Philip S",28--33,2000,,article,ACM,ACM SIGKDD Explorations Newsletter,2,2
2887,Predicting social links for new users across aligned heterogeneous social networks,"Data Mining (ICDM), 2013 IEEE 13th International Conference on","Zhang, Jiawei and Kong, Xiangnan and Yu, Philip S",1289--1294,2013,IEEE,inproceedings,,,,
2888,User-defined online interaction method and device,,"Bellamy, Rachel KE and Ellis, Jason B and Erickson, Thomas D and Kellogg, Wendy A and Laff, Mark R and Malkin, Peter K and Richards, John T and Philip, S Yu",,2005,,misc,,,,
2889,Searching for familiar strangers on blogosphere: problems and challenges,,"Agarwal, Nitin and Liu, Huan and Salerno, John and Yu, Philip S",,2007,,article,,NSF Symposium on Next-Generation Data Mining and Cyber-enabled Discovery and Innovation (NGDM),,
2890,Methods and apparatus for mining attribute associations,,"Ma, Sheng and Perng, Chang-shing and Wang, Haixun and Yu, Philip Shi-lung",,2007,,misc,,,,
2891,DDDM2007: Domain driven data mining,,"Cao, Longbing and Zhang, Chengqi and Zhao, Yanchang and Yu, Philip S and Williams, Graham",84--86,2007,,article,ACM,ACM SIGKDD Explorations Newsletter,2,9
2892,Arrangements and methods for latency-sensitive hashing for collaborative web caching,,"Wu, Kun-Lung and Yu, Philip Shi-lung",,2004,,misc,,,,
2893,Efficient processing of continual range queries for location-aware mobile services,,"Wu, Kun-Lung and Chen, Shyh-Kwei and Philip, S Yu",435--448,2005,,article,Kluwer Academic Publishers,Information Systems Frontiers,05-Apr,7
2894,On text mining techniques for personalization,"New Directions in Rough Sets, Data Mining, and Granular-Soft Computing","Aggarwal, Charu C and Philip, S Yu",12--18,1999,,incollection,Springer Berlin Heidelberg,,,
2895,On dynamic data-driven selection of sensor streams,Proceedings of the 17th ACM SIGKDD international conference on Knowledge discovery and data mining,"Aggarwal, Charu C and Xie, Yan and Yu, Philip S",1226--1234,2011,ACM,inproceedings,,,,
2896,Scheduling algorithms for the broadcast delivery of digital products,,"Wolf, Joel L and Squillante, Mark S and Turek, John J and Yu, Philip S and Sethuraman, Jay",721--741,2001,,article,IEEE,"Knowledge and Data Engineering, IEEE Transactions on",5,13
2897,CSR: Speaker recognition from compressed VoIP packet stream,"Multimedia and Expo, 2005. ICME 2005. IEEE International Conference on","Aggarwal, Charu and Olshefski, David and Saha, Debanjan and Shae, Zon-Yin and Yu, Philip",970--973,2005,IEEE,inproceedings,,,,
2898,Online failure forecast for fault-tolerant data stream processing,"Data Engineering, 2008. ICDE 2008. IEEE 24th International Conference on","Gu, Xiaohui and Papadimitriou, Spiros and Yu, Philip S and Chang, Shu-Ping",1388--1390,2008,IEEE,inproceedings,,,,
2899,Parallel execution of hash joins in parallel databases,,"Hsiao, Hui-I and Chen, Ming-Syan and Yu, Philip S",872--883,1997,,article,IEEE,"Parallel and Distributed Systems, IEEE Transactions on",8,8
2900,Energy-efficient mobile cache invalidation,,"Wu, Kun-Lung and Philip, S Yu and Chen, Ming-Syan",351--372,1998,,article,Kluwer Academic Publishers,Distributed and Parallel Databases,4,6
2901,Parallel query processing,Advanced Database Systems,"Yu, Philip S. and Chen, M-S and Wolf, Joel L and Turek, John",229--258,1993,,incollection,Springer Berlin Heidelberg,,,
2902,System and method for enforcing security service level agreements,,"Mei, Gee-Gwo and Wu, Kun-Lung and Yu, Philip Shi-lung",,2007,,misc,,,,
2903,Meta-path based multi-network collective link prediction,Proceedings of the 20th ACM SIGKDD international conference on Knowledge discovery and data mining,"Zhang, Jiawei and Yu, Philip S and Zhou, Zhi-Hua",1286--1295,2014,ACM,inproceedings,,,,
2904,Efficient query monitoring using adaptive multiple key hashing,Proceedings of the eleventh international conference on Information and knowledge management,"Wu, Kun-Lung and Yu, Philip S",477--484,2002,ACM,inproceedings,,,,
2905,Continuous keyword search on multiple text streams,Proceedings of the 15th ACM international conference on Information and knowledge management,"Hristidis, Vagelis and Valdivia, Oscar and Vlachos, Michail and Yu, Philip S",802--803,2006,ACM,inproceedings,,,,
2906,Comparative performance of parallel join algorithms,"Parallel and Distributed Information Systems, 1991., Proceedings of the First International Conference on","Wolf, Joel L and Dias, Daniel M and Yu, Philip S and Turek, John",78--88,1991,IEEE,inproceedings,,,,
2907,Correlating burst events on streaming stock market data,,"Vlachos, Michail and Wu, Kun-Lung and Chen, Shyh-Kwei and Philip, S Yu",109--133,2008,,article,Springer US,Data Mining and Knowledge Discovery,1,16
2908,Divergence control algorithms for epsilon serializability,,"Wu, Kun-Lung and Yu, Philip S and Pu, Calton",262--274,1997,,article,IEEE,"Knowledge and Data Engineering, IEEE Transactions on",2,9
2909,"Lira: Lightweight, region-aware load shedding in mobile CQ systems","Data Engineering, 2007. ICDE 2007. IEEE 23rd International Conference on","Gedik, Bugra and Liu, Ling and Wu, Kim-Lung and Yu, Philip S",286--295,2007,IEEE,inproceedings,,,,
2910,Clustering on Complex Graphs.,AAAI,"Long, Bo and Zhongfei (Mark) Zhang and Philip, S Yu and Xu, Tianbing",659--664,2008,,inproceedings,,,,
2911,System and method for similarity indexing and searching in high dimensional space,,"Aggarwal, Charu Chandra and Yu, Philip Shi-lung",,2005,,misc,,,,
2912,VCR indexing for fast event matching for highly-overlapping range predicates,Proceedings of the 2004 ACM symposium on Applied computing,"Wu, Kun-Lung and Chen, Shyh-Kwei and Yu, Philip S",740--747,2004,ACM,inproceedings,,,,
2913,Graph stream classification using labeled and unlabeled graphs,"Data Engineering (ICDE), 2013 IEEE 29th International Conference on","Pan, Shirui and Zhu, Xingquan and Zhang, Chengqi and Yu, Philip S",398--409,2013,IEEE,inproceedings,,,,
2914,Design and Analysis of Integrated Concurrency-Coherence Controls,Proceedings of the 13th International Conference on Very Large Data Bases,"Dias, Daniel M and Iyer, Balakrishna R and Robinson, John T and Yu, Philip S",463--471,1987,Morgan Kaufmann Publishers Inc.,inproceedings,,,,
2915,Site assignment for relations and joint operations in the distributed transaction processing environment,"Data Engineering, 1988. Proceedings. Fourth International Conference on","Cornell, Douglas W and Yu, Philip S",100--108,1988,IEEE,inproceedings,,,,
2916,Type-Independent Correction of Sample Selection Bias via Structural Discovery and Re-balancing.,SDM,"Ren, Jiangtao and Shi, Xiaoxiao and Fan, Wei and Philip, S Yu",565--576,2008,,inproceedings,,,,
2917,On high dimensional indexing of uncertain data,"Data Engineering, 2008. ICDE 2008. IEEE 24th International Conference on","Aggarwal, Charu C and Yu, Philip S",1460--1461,2008,IEEE,inproceedings,,,,
2918,Issues in the design of multi-server file systems to cope with load skew,"Parallel and Distributed Information Systems, 1993., Proceedings of the Second International Conference on","Sitaram, Dinkar and Dan, Asit and Yu, Philip S",214--223,1993,IEEE,inproceedings,,,,
2919,Method and apparatus for providing awareness-triggered push,,"Malkin, Peter Kenneth and Yu, Philip Shi-lung",,2001,,misc,,,,
2920,System and method for sequence-based subspace pattern clustering,,"Fan, Wei and Wang, Haixun and Philip, S Yu",,2009,,misc,,,,
2921,Analysis of peer-to-peer systems: workload characterization and effects on traffic cacheability,"Modeling, Analysis, and Simulation of Computer and Telecommunications Systems, 2004.(MASCOTS 2004). Proceedings. The IEEE Computer Society's 12th Annual International Symposium on","Andreolini, Mauro and Lancellotti, Riccardo and Yu, Philip S",95--104,2004,IEEE,inproceedings,,,,
2922,A framework for scalable cost-sensitive learning based on combining probabilities and benefits,,"Fan, Wei and Wang, Haixun and Yu, Philip and Stolfo, Sal",437,2002,,article,Society for Industrial and Applied Mathematics,Society for Industrial and Applied Mathematics. Proceedings of the SIAM International Conference on Data Mining,,
2923,Method and apparatus for managing state information in a network data processing system,,"Greene, David and Stern, Edith and Willner, Barry and Yu, Philip",,2001,,misc,,,,
2924,Systems and methods for predictive failure management,,"Chang, Shu-Ping and Gu, Xiaohui and Papadimitriou, Spyridon and Yu, Philip Shi-lung",,2010,,misc,,,,
2925,"Flexibility, manageability, and performance in a grid storage appliance","High Performance Distributed Computing, 2002. HPDC-11 2002. Proceedings. 11th IEEE International Symposium on","Bent, John and Venkataramani, Venkateshwaran and LeRoy, Nick and Roy, Alain and Stanley, Joseph and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H and Livny, Miron",3--12,2002,IEEE,inproceedings,,,,
2926,Netstation Architecture Multi-Gigabit Workstation Network Fabric,,"Finn, Gregory G and Mockapetris, P and Sloan, R and Anderson, T and Culler, D and Patterson, D and Laudon, J and Lenoski, D and Krishnamurthy, A and Schauser, K and others",1--9,1999,,article,,Proceedings of InterOp,,94
2927,Run-time adaptation in river,,"Arpaci-Dusseau, Remzi H",36--86,2003,,article,ACM,ACM Transactions on Computer Systems (TOCS),1,21
2928,Coerced Cache Eviction and discreet mode journaling: Dealing with misbehaving disks,"Dependable Systems \& Networks (DSN), 2011 IEEE/IFIP 41st International Conference on","Rajimwale, Abhishek and Chidambaram, Vijay and Ramamurthi, Deepak and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",518--529,2011,IEEE,inproceedings,,,,
2929,Transforming policies into mechanisms with infokernel,ACM SIGOPS Operating Systems Review,"Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H and Burnett, Nathan C and Denehy, Timothy E and Engle, Thomas J and Gunawi, Haryadi S and Nugent, James A and Popovici, Florentina I",90--105,2003,ACM,inproceedings,,,5,37
2930,Impact of disk corruption on open-source DBMS,"Data Engineering (ICDE), 2010 IEEE 26th International Conference on","Subramanian, Sriram and Zhang, Yupu and Vaidyanathan, Rajiv and Gunawi, Haryadi S and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H and Naughton, Jeffrey F",509--520,2010,IEEE,inproceedings,,,,
2931,Emulating Goliath storage systems with David,,"Agrawal, Nitin and Arulraj, Leo and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",12,2012,,article,ACM,ACM Transactions on Storage (TOS),4,7
2932,Storage-Aware Caching: Revisiting Caching for Heterogeneous Storage Systems.,,"Forney, Brian C and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",5--5,2002,,article,,FAST,,2
2933,Searching for the sorting record: Experiences in tuning NOW-Sort,Proceedings of the SIGMETRICS symposium on Parallel and distributed tools,"Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H and Culler, David E and Hellerstein, Joseph M and Patterson, David A",124--133,1998,ACM,inproceedings,,,,
2934,X-ray: A non-invasive exclusive caching mechanism for raids,"Computer Architecture, 2004. Proceedings. 31st Annual International Symposium on","Bairavasundaram, Lakshmi N and Sivathanu, Muthian and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",176--187,2004,IEEE,inproceedings,,,,
2935,Analysis of HDFS under HBase: a facebook messages case study.,,"Harter, Tyler and Borthakur, Dhruba and Dong, Siying and Aiyer, Amitanand S and Tang, Liyin and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",12th,2014,,article,,FAST,,14
2936,Antfarm: Tracking Processes in a Virtual Machine Environment.,"USENIX Annual Technical Conference, General Track","Jones, Stephen T and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",1--14,2006,,inproceedings,,,,
2937,Combining parallel and sequential workloads on a network of workstations,,"Arpaci, Remzi and Vahdat, Amin and Anderson, Thomas and Patterson, David",,1994,,techreport,,,,
2938,"Robust, Portable I/O Scheduling with the Disk Mimic.","USENIX Annual Technical Conference, General Track","Popovici, Florentina I and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",297--310,2003,,inproceedings,,,,
2939,Fast parallel sorting under LogP: Experience with the CM-5,,"Dusseau, Andrea C and Culler, David E and Schauser, Klaus Erik and Martin, Richard P",791--805,1996,,article,IEEE,"Parallel and Distributed Systems, IEEE Transactions on",8,7
2940,A Logic of File Systems.,,"Sivathanu, Muthian and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H and Jha, Somesh",1--1,2005,,article,,FAST,,5
2941,IRON file systems,,"Prabhakaran, Vijayan and Bairavasundaram, Lakshmi N and Agrawal, Nitin and Gunawi, Haryadi S and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",206--220,2005,,article,ACM,ACM SIGOPS Operating Systems Review,5,39
2942,Database-Aware Semantically-Smart Storage.,,"Sivathanu, Muthian and Bairavasundaram, Lakshmi N and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",18,2005,,article,,FAST,,5
2943,Analysis and Evolution of Journaling File Systems.,"USENIX Annual Technical Conference, General Track","Prabhakaran, Vijayan and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",105--120,2005,,inproceedings,,,,
2944,Model-based failure analysis of journaling file systems,"Dependable Systems and Networks, 2005. DSN 2005. Proceedings. International Conference on","Prabhakaran, Vijayan and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",802--811,2005,IEEE,inproceedings,,,,
2945,Operating systems: Three easy pieces,,"Arpaci-Dusseau, Remzi H and Arpaci-Dusseau, Andrea C",,2012,,book,,,,
2946,Exploiting Gray-Box Knowledge of Buffer-Cache Management.,"USENIX Annual Technical Conference, General Track","Burnett, Nathan C and Bent, John and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",29--44,2002,,inproceedings,,,,
2947,Towards automatically checking thousands of failures with micro-specifications,,"Gunawi, Haryadi S and Do, Thanh and Joshi, Pallavi and Hellerstein, Joseph M and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H and Sen, Koushik",,2010,,article,,"University of California at Berkeley, Tech. Rep. UCB/EECS-2010-98",,
2948,A case for NOW (networks of workstations),,"Anderson, Thomas E and Culler, David E and Patterson, David and others",54--64,1995,,article,IEEE,"Micro, IEEE",1,15
2949,Journal-guided Resynchronization for Software RAID.,FAST,"Denehy, Timothy E and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",,2005,,inproceedings,,,,
2950,Ffsck: The Fast File-System Checker,,"Ma, Ao and Dragga, Chris and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H and Mckusick, Marshall Kirk",2,2014,,article,ACM,ACM Transactions on Storage (TOS),1,10
2951,Performance availability for networks of workstations,,"Arpaci-Dusseau, Remzi H",,1999,,phdthesis,,,,
2952,A file is not a file: understanding the I/O behavior of Apple desktop applications,,"Harter, Tyler and Dragga, Chris and Vaughn, Michael and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",10,2012,,article,ACM,ACM Transactions on Computer Systems (TOCS),3,30
2953,Controlling Your PLACE in the File System with Gray-box Techniques.,"USENIX annual technical conference, general track","Nugent, James A and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",311--323,2003,,inproceedings,,,,
2954,Manageable storage via adaptation in WiND,"Cluster Computing and the Grid, 2001. Proceedings. First IEEE/ACM International Symposium on","Arpaci-Dusseau, Andrea and Arpaci-Dusseau, Remzi and Bent, John and Forney, Brian and Muthukrishnan, Sambavi and Popovici, Florentina and Zaki, Omer",169--177,2001,IEEE,inproceedings,,,,
2955,Removing the costs of indirection in flash-based SSDs with nameless writes,,"Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H and Prabhakaran, Vijayan",1--1,2010,,article,USENIX Association,Proceedings of the 2nd USENIX conference on Hot topics in storage and file systems,,
2956,Avoiding file system micromanagement with range writes,Proceedings of the 8th USENIX conference on Operating systems design and implementation,"Anand, Ashok and Sen, Sayandeep and Krioukov, Andrew and Popovici, Florentina and Akella, Aditya and Arpaci-Dusseau, Andrea and Arpaci-Dusseau, Remzi and Banerjee, Suman",161--176,2008,USENIX Association,inproceedings,,,,
2957,Gathering at the well: Creating communities for grid I/O,"Supercomputing, ACM/IEEE 2001 Conference","Thain, Douglas and Bent, John and Arpaci-Dusseau, Andrea and Arpaci-Dusseau, Remzi and Livny, Miron",21--21,2001,IEEE,inproceedings,,,,
2958,*-Box: towards reliability and consistency in dropbox-like file synchronization services,Proceedings of the 5th USENIX conference on Hot Topics in Storage and File Systems,"Zhang, Yupu and Dragga, Chris and Arpaci-Dusseau, Andrea and Arpaci-Dusseau, Remzi",2--2,2013,USENIX Association,inproceedings,,,,
2959,Empirical evaluation of the CRAY-T3D: a compiler perspective,ACM SIGARCH Computer Architecture News,"Arpaci, Remzi H and Culler, David E and Krishnamurthy, Arvind and Steinberg, Steve G and Yelick, Katherine",320--331,1995,ACM,inproceedings,,,2,23
2960,A case for networks of workstations (NOW),,"Tom Anderson, R Arpaci-Dusseau, D Culler, M Dahlin, A Arpaci-Dusseau, D Ghormley, D Patterson, S Rodrigues, A Vahdat, R Wang",43--58,1994,,article,,"Hot Interconnects II, 1994. Symposium Record",,
2961,Bridging the Information Gap in Storage Protocol Stacks.,"USENIX Annual Technical Conference, General Track","Denehy, Timothy E and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",177--190,2002,,inproceedings,,,,
