ID,publisher,isbn,title,series,author,year,ENTRYTYPE,journal,number,volume,link,pages,booktitle,crossref
3332,,,{ROC} Analysis,,Peter A. Flach,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_733,869--875,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
3333,,,"On the model dependence of majority preference relations reconstructed
from ballot or survey data",,"Michel Regenwetter and
Bernard Grofman and
A. A. J. Marley",2002,article,Mathematical Social Sciences,3,43,http://dx.doi.org/10.1016/S0165-4896(02)00022-7,451--466,,
3334,,,Near-optimal Regret Bounds for Reinforcement Learning,,"Thomas Jaksch and
Ronald Ortner and
Peter Auer",2010,article,Journal of Machine Learning Research,,11,http://portal.acm.org/citation.cfm?id=1859902,1563--1600,,
3335,,,Generalization Bounds,,Mark D. Reid,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_328,447--454,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
3336,Springer,3-540-23305-9,"Current Trends in Database Technology - {EDBT} 2004 Workshops, {EDBT}
2004 Workshops PhD, DataX, PIM, P2P{\&}DB, and ClustWeb, Heraklion, Crete, Greece, March 14-18, 2004, Revised Selected Papers",Lecture Notes in Computer Science,,2004,proceedings,,,3268,,,,
3337,,,"Road detection using support vector machine based on online learning
and evaluation",,"Shengyan Zhou and
Jianwei Gong and
Guangming Xiong and
Huiyan Chen and
Karl Iagnemma",2010,inproceedings,,,,http://dx.doi.org/10.1109/IVS.2010.5548086,256--261,"{IEEE} Intelligent Vehicles Symposium (IV), 2010, La Jolla, CA, USA, June 21-24, 2010",DBLP:conf/ivs/2010
3338,,,Logical Data Modelling for Geographical Applications,,"Thanasis Hadzilacos and
Nectaria Tryfona",1996,article,International Journal of Geographical Information Science,2,10,http://dx.doi.org/10.1080/02693799608902073,179--203,,
3339,,,"Estimating variable structure and dependence in multitask learning
via gradients",,"Justin Guinney and
Qiang Wu and
Sayan Mukherjee",2011,article,Machine Learning,3,83,http://dx.doi.org/10.1007/s10994-010-5217-4,265--287,,
3340,,,\emph{m}-Estimate,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_503,633,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
3341,,,"Exploiting Multilingual Grammars and Machine Learning Techniques to
Build an Event Extraction System for Portuguese",,"Vanni Zavarella and
Hristo Tanev and
Jens P. Linge and
Jakub Piskorski and
Martin Atkinson and
Ralf Steinberger",2010,inproceedings,,,,http://dx.doi.org/10.1007/978-3-642-12320-7_3,21--24,"Computational Processing of the Portuguese Language, 9th International
Conference, {PROPOR} 2010, Porto Alegre, RS, Brazil, April 27-30, 2010. Proceedings",DBLP:conf/propor/2010
3342,,,"Rule Extraction from Support Vector Machine Using Modified Active
Learning Based Approach: An Application to {CRM}",,"M. A. H. Farquad and
Vadlamani Ravi and
S. Bapi Raju",2010,inproceedings,,,,http://dx.doi.org/10.1007/978-3-642-15387-7_50,461--470,"Knowledge-Based and Intelligent Information and Engineering Systems
- 14th International Conference, {KES} 2010, Cardiff, UK, September
8-10, 2010, Proceedings, Part {I}",DBLP:conf/kes/2010-1
3343,,,Infinite factorization of multiple non-parametric views,,"Simon Rogers and
Arto Klami and
Janne Sinkkonen and
Mark Girolami and
Samuel Kaski",2010,article,Machine Learning,01-Feb,79,http://dx.doi.org/10.1007/s10994-009-5155-1,201--226,,
3344,,,"Employing Machine Learning Techniques for Data Enrichment: Increasing
the Number of Samples for Effective Gene Expression Data Analysis",,"Utku Erdogdu and
Mehmet Tan and
Reda Alhajj and
Faruk Polat and
Douglas J. Demetrick and
Jon G. Rokne",2011,inproceedings,,,,http://doi.ieeecomputersociety.org/10.1109/BIBM.2011.105,238--242,"{IEEE} International Conference on Bioinformatics and Biomedicine, {BIBM} 2011, Atlanta, GA, USA, 12-15 November, 2011",DBLP:conf/bibm/2011
3345,,,"Estimation of the applicability domain of kernel-based machine learning
models for virtual screening",,"Nikolas Fechner and
Andreas Jahn and
Georg Hinselmann and
Andreas Zell",2010,article,J. Cheminformatics,,2,http://dx.doi.org/10.1186/1758-2946-2-2,2,,
3346,,,"Proceedings of the Sixth Australasian Database Conference, Glenelg/Adelaide, South Australia, 1995",Australian Computer Science Communications,,1995,proceedings,,2,17,,,,
3347,,,"On Over-fitting in Model Selection and Subsequent Selection Bias in
Performance Evaluation",,"Gavin C. Cawley and
Nicola L. C. Talbot",2010,article,Journal of Machine Learning Research,,11,http://portal.acm.org/citation.cfm?id=1859921,2079--2107,,
3348,,,"Smoothness Prior Approach to Explore the Mean Structure in Large Time
Series Data",,"Genshiro Kitagawa and
Tomoyuki Higuchi and
Fumiyo N. Kondo",1999,inproceedings,,,,http://dx.doi.org/10.1007/3-540-46846-3_21,230--241,"Discovery Science, Second International Conference, {DS} '99, Tokyo, Japan, December, 1999, Proceedings",DBLP:conf/dis/1999
3349,,,"Customer value segmentation based on cost-sensitive learning Support
Vector Machine",,"Zou Peng and
Yuanyuan Hao and
Yijun Li",2010,article,IJSTM,1,14,http://dx.doi.org/10.1504/IJSTM.2010.032888,126--137,,
3350,,,Speedup Learning,,Alan Fern,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_772,907--911,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
3351,,,Single-image super-resolution via local learning,,"Yi Tang and
Pingkun Yan and
Yuan Yuan and
Xuelong Li",2011,article,Int. J. Machine Learning {\&} Cybernetics,1,2,http://dx.doi.org/10.1007/s13042-011-0011-6,15--23,,
3352,,,"Data mining {T-RFLP} profiles from urban water system sampling using
self-organizing maps",,"Stephen R. Mounce and
Henriette S. Jensen and
Catherine A. Biggs and
Joby B. Boxall",2012,inproceedings,,,,http://dx.doi.org/10.1109/ICNC.2012.6234528,212--216,"Eighth International Conference on Natural Computation, {ICNC} 2012, 29-31 May 2012, Chongqing, China",DBLP:conf/icnc/2012
3353,,,"The International Directory Network and Connected Data Information
Systems for Research in the Earth and Space Sciences",,James R. Thieman,1993,inproceedings,,,,http://doi.acm.org/10.1145/170035.170146,475--478,"Proceedings of the 1993 {ACM} {SIGMOD} International Conference on
Management of Data, Washington, D.C., May 26-28, 1993.",DBLP:conf/sigmod/93
3354,,,"The local protein-protein interactional feature can be caught by machine-learning
method",,"Tienan Feng and
Dingli Jin and
Liang Da and
Yifei Wang",2011,inproceedings,,,,http://dx.doi.org/10.1109/FSKD.2011.6019872,1633--1637,"Eighth International Conference on Fuzzy Systems and Knowledge Discovery, {FSKD} 2011, 26-28 July 2011, Shanghai, China",DBLP:conf/fskd/2011
3355,,,"Assessing farmland dynamics and land degradation on Sahelian landscapes
using remotely sensed and socioeconomic data",,"Abigail Amissah{-}Arthur and
Bernard Mougenot and
Maud Loireau",2000,article,International Journal of Geographical Information Science,6,14,http://dx.doi.org/10.1080/136588100415756,583--599,,
3356,,,"A machine learning based approach to weather parameter estimation
in Doppler weather radar",,"Satoshi Kon and
Toshihisa Tanaka and
Humihiko Mizutani and
Masakazu Wada",2011,inproceedings,,,,http://dx.doi.org/10.1109/ICASSP.2011.5946753,2152--2155,"Proceedings of the {IEEE} International Conference on Acoustics, Speech, and Signal Processing, {ICASSP} 2011, May 22-27, 2011, Prague Congress
Center, Prague, Czech Republic",DBLP:conf/icassp/2011
3357,Springer,978-3-642-23198-8,"Machine Learning and Data Mining in Pattern Recognition - 7th International
Conference, {MLDM} 2011, New York, NY, USA, August 30 - September
3, 2011. Proceedings",Lecture Notes in Computer Science,,2011,proceedings,,,6871,http://dx.doi.org/10.1007/978-3-642-23199-5,,,
3358,,,"On Dimension Reduction Mappings for Approximate Retrieval of Multi-dimensional
Data",,"Takeshi Shinohara and
Hiroki Ishizaka",2002,inproceedings,,,,http://dx.doi.org/10.1007/3-540-45884-0_14,224--231,"Progress in Discovery Science, Final Report of the Japanese Discovery
Science Project",DBLP:conf/dsp/2002
3359,,,"A Supervised Machine Learning Approach for Duplicate Detection over
Gazetteer Records",,Bruno Martins,2011,inproceedings,,,,http://dx.doi.org/10.1007/978-3-642-20630-6_3,34--51,"GeoSpatial Semantics - 4th International Conference, GeoS 2011, Brest, France, May 12-13, 2011. Proceedings",DBLP:conf/geos/2011
3360,Addison-Wesley,978-0-201-41705-0,"Algorithms and data structures - design, correctness, analysis",International computer science series,Jeffrey H. Kingston,1990,book,,,,,,,
3361,,,The {PHARMSEARCH} database,,"Michael P. O'Hara and
Catherine Pagis",1991,article,Journal of Chemical Information and Computer Sciences,1,31,http://dx.doi.org/10.1021/ci00001a009,59--63,,
3362,,,Concurrency Control in Real-Time Database Systems,,"{\""{O}}zg{\""{u}}r Ulusoy and
Geneva G. Belford",1992,inproceedings,,,,http://doi.acm.org/10.1145/131214.131237,181--188,"Proceedings of the {ACM} 20th Annual Conference on Computer Science, {CSC} '92, Kansas City, MO, USA, March 3-5, 1992",DBLP:conf/acm/1992
3363,,,Machine Learning for Adaptive Quantum Measurement,,"Alexander Hentschel and
Barry C. Sanders",2010,inproceedings,,,,http://dx.doi.org/10.1109/ITNG.2010.109,506--511,"Seventh International Conference on Information Technology: New Generations, {ITNG} 2010, Las Vegas, Nevada, USA, 12-14 April 2010",DBLP:conf/itng/2010
3364,,,Object-Oriented Databases,,Fran{\c{c}}ois Bancilhon,1997,incollection,,,,,1158--1170,The Computer Science and Engineering Handbook,DBLP:books/crc/tucker1997
3365,,,"Extraction of Primitive Motion and Discovery of Association Rules
from Human Motion Data",,"Kuniaki Uehara and
Mitsuomi Shimada",2002,inproceedings,,,,http://dx.doi.org/10.1007/3-540-45884-0_24,338--348,"Progress in Discovery Science, Final Report of the Japanese Discovery
Science Project",DBLP:conf/dsp/2002
3366,,,A study of 'hard to find' data processing errors (abstract),,Linda L. Werner,1986,inproceedings,,,,http://doi.acm.org/10.1145/324634.325008,410,"Proceedings of the 14th {ACM} Annual Conference on Computer Science, Cincinnati, Ohio, USA, 1986",DBLP:conf/acm/1986
3367,,,"Learning about Machine Learning: An Extended Assignment to Classify
Twitter Accounts",,"Eni Mustafaraj and
Scott D. Anderson",2011,inproceedings,,,,http://aaai.org/ocs/index.php/FLAIRS/FLAIRS11/paper/view/2571,,"Proceedings of the Twenty-Fourth International Florida Artificial
Intelligence Research Society Conference, May 18-20, 2011, Palm Beach, Florida, {USA}",DBLP:conf/flairs/2011
3368,Springer,3-540-24054-3,"Advances in Data Mining, Applications in Image Mining, Medicine and
Biotechnology, Management and Environmental Control, and Telecommunications, 4th Industrial Conference on Data Mining, {ICDM} 2004, Leipzig, Germany, July 4-7, 2004, Revised Selected Papers",Lecture Notes in Computer Science,,2004,proceedings,,,3275,,,,
3369,,,"Machine Learning Methods and Asymmetric Cost Function to Estimate
Execution Effort of Software Testing",,"Daniel Guerreiro e Silva and
Mario Jino and
Bruno Teixeira de Abreu",2010,inproceedings,,,,http://dx.doi.org/10.1109/ICST.2010.46,275--284,"Third International Conference on Software Testing, Verification and
Validation, {ICST} 2010, Paris, France, April 7-9, 2010",DBLP:conf/icst/2010
3370,,,Student Speech Act Classification Using Machine Learning,,"Travis Rasor and
Andrew Olney and
Sidney K. D'Mello",2011,inproceedings,,,,http://aaai.org/ocs/index.php/FLAIRS/FLAIRS11/paper/view/2635,,"Proceedings of the Twenty-Fourth International Florida Artificial
Intelligence Research Society Conference, May 18-20, 2011, Palm Beach, Florida, {USA}",DBLP:conf/flairs/2011
3371,,,"Training and Testing Low-degree Polynomial Data Mappings via Linear
{SVM}",,"Yin{-}Wen Chang and
Cho{-}Jui Hsieh and
Kai{-}Wei Chang and
Michael Ringgaard and
Chih{-}Jen Lin",2010,article,Journal of Machine Learning Research,,11,http://portal.acm.org/citation.cfm?id=1859899,1471--1490,,
3372,,,(Big) usage data in web search,,"Ricardo A. Baeza{-}Yates and
Yoelle Maarek",2012,inproceedings,,,,http://doi.acm.org/10.1145/2348283.2348531,1181--1182,"The 35th International {ACM} {SIGIR} conference on research and development
in Information Retrieval, {SIGIR} '12, Portland, OR, USA, August 12-16, 2012",DBLP:conf/sigir/2012
3373,,,"High-dimensional Variable Selection with Sparse Random Projections:
Measurement Sparsity and Statistical Efficiency",,"Dapo Omidiran and
Martin J. Wainwright",2010,article,Journal of Machine Learning Research,,11,http://portal.acm.org/citation.cfm?id=1859933,2361--2386,,
3374,,,Benchmarking Spatial Big Data,,"Shashi Shekhar and
Michael R. Evans and
Viswanath Gunturi and
KwangSoo Yang and
Daniel Cintra Cugler",2012,inproceedings,,,,http://dx.doi.org/10.1007/978-3-642-53974-9_8,81--93,"Specifying Big Data Benchmarks - First Workshop, {WBDB} 2012, San
Jose, CA, USA, May 8-9, 2012, and Second Workshop, {WBDB} 2012, Pune, India, December 17-18, 2012, Revised Selected Papers",DBLP:conf/wbdb/2012
3375,,,A Problem-Oriented Analysis of Database Models,,"Nadia Magnenat{-}Thalmann and
Daniel Thalmann",1979,article,Journal of Chemical Information and Computer Sciences,2,19,http://dx.doi.org/10.1021/ci60018a010,86--89,,
3376,,,"Comparing and combining the capability of detecting earthquake damages
in urban areas using {SAR} and optical data",,"Christian Bignami and
Marco Chini and
Nazzareno Pierdicca and
Salvatore Stramondo",2004,inproceedings,,,,http://dx.doi.org/10.1109/IGARSS.2004.1368943,,"{IGARSS} 2004. 2004 {IEEE} International Geoscience and Remote Sensing
Symposium, Anchorage, Alaska, USA, 20-24 September 2004",DBLP:conf/igarss/2004
3377,,,Single-machine scheduling with learning functions,,"Ji{-}Bo Wang and
Dan Wang and
Guo{-}Dong Zhang",2010,article,Applied Mathematics and Computation,4,216,http://dx.doi.org/10.1016/j.amc.2010.02.020,1280--1286,,
3378,,,"Extraction of red edge optical parameters from Hyperion data for estimation
of forest leaf area index",,"Ruiliang Pu and
Peng Gong and
Greg S. Biging and
Mirta Rosa Larrieu",2003,article,{IEEE} T. Geoscience and Remote Sensing,4,41,http://dx.doi.org/10.1109/TGRS.2003.813555,916--921,,
3379,,,Logic of Generality,,Luc De Raedt,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_489,624--631,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
3380,,,"{\cyrchar\CYRT}{\cyrchar\cyre}{\cyrchar\cyrh}{\cyrchar\cyrn}{\cyrchar\cyro}{\cyrchar\cyrl}{\cyrchar\cyro}{\cyrchar\cyrg}{\cyrchar\cyri}{\cyrchar\cyri}
Oracle {\cyrchar\cyrd}{\cyrchar\cyrl}{\cyrchar\cyrya} {\cyrchar\cyrr}{\cyrchar\cyra}{\cyrchar\cyrb}{\cyrchar\cyro}{\cyrchar\cyrt}{\cyrchar\cyrery}
{\cyrchar\cyrs} {\cyrchar\CYRB}{\cyrchar\cyro}{\cyrchar\cyrl}{\cyrchar\cyrsftsn}{\cyrchar\cyrsh}{\cyrchar\cyri}{\cyrchar\cyrm}{\cyrchar\cyri}
{\cyrchar\CYRD}{\cyrchar\cyra}{\cyrchar\cyrn}{\cyrchar\cyrn}{\cyrchar\cyrery}{\cyrchar\cyrm}{\cyrchar\cyri}
(Oracle for Big Data)",,Andrey Pivovarov,2012,inproceedings,,,,http://ceur-ws.org/Vol-934/paper10.pdf,64,"Proceedings of the 14th All-Russian Scientific Conference ""Digital
libraries: Advanced Methods and Technologies, Digital Collections"", Pereslavl-Zalessky, Russia, October 15-18, 2012",DBLP:conf/rcdl/2012
3381,Springer,3-540-20304-4,"{WEBKDD} 2002 - MiningWeb Data for Discovering Usage Patterns and
Profiles, 4th International Workshop, Edmonton, Canada, July 23, 2002, Revised Papers",Lecture Notes in Computer Science,,2003,proceedings,,,2703,,,,
3382,,,Cost-Sensitive Classification,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_180,231,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
3383,,,"A Step Towards Modeling and Destabilizing Human Trafficking Networks
Using Machine Learning Methods",,Shreya Amin,2010,inproceedings,,,,http://www.aaai.org/ocs/index.php/SSS/SSS10/paper/view/1155,,"Artificial Intelligence for Development, Papers from the 2010 {AAAI}
Spring Symposium, Technical Report SS-10-01, Stanford, California, USA, March 22-24, 2010",DBLP:conf/aaaiss/2010-1
3384,,,Covariance Matrix,,Xinhua Zhang,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_183,235--238,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
3385,,,Evaluation of a data warehouse in an academic health sciences center,,"Jane R. Schubart and
Jonathan S. Einbinder",1999,inproceedings,,,,http://knowledge.amia.org/amia-55142-a1999a-1.591078/t-001-1.593353/f-001-1.593354/a-123-1.593598/a-124-1.593595,,"{AMIA} 1999, American Medical Informatics Association Annual Symposium, Washington, DC, USA, November 6-10, 1999",DBLP:conf/amia/1999
3386,,,Improved {AP} association management using machine learning,,"Tingting Sun and
Wade Trappe and
Yanyong Zhang",2010,article,Mobile Computing and Communications Review,4,14,http://doi.acm.org/10.1145/1942268.1942271,4--6,,
3387,,,"A review of: ""\emph{National Transfer Format, Release 1.0, January, 1987.}"" By The Working Party to Produce National Standards for the
Transfer of National Digital Map Data. (Southampton: The {NTF} Secretariat, Ordnance Survey, 1987. [Pp. 191: appendices and looseleaf annex.]",,Harold Moellering,1988,article,International Journal of Geographical Information Science,3,2,http://dx.doi.org/10.1080/02693798808927904,289--292,,
3388,,,Markov Chain,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_510,639,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
3389,,,Querying and Visualizing Gridded Datasets for e-Science,,"Bill Howe and
David Maier",2005,inproceedings,,,,http://dx.doi.org/10.1109/ICDE.2005.117,1106--1107,"Proceedings of the 21st International Conference on Data Engineering, {ICDE} 2005, 5-8 April 2005, Tokyo, Japan",DBLP:conf/icde/2005
3390,,,BigWig and BigBed: enabling browsing of large distributed datasets,,"W. James Kent and
Ann S. Zweig and
Galt P. Barber and
Angie S. Hinrichs and
Donna Karolchik",2010,article,Bioinformatics,17,26,http://dx.doi.org/10.1093/bioinformatics/btq351,2204--2207,,
3391,,,"Proceeding Seventh Australasian Database Conference, {ADC} '96, Melbourne, Australia, January 29-30, 1996",Australian Computer Science Communications,,1996,proceedings,,2,18,,,,
3392,Omnipress,,"Proceedings of the 28th International Conference on Machine Learning, {ICML} 2011, Bellevue, Washington, USA, June 28 - July 2, 2011",,,2011,proceedings,,,,,,,
3393,Omnipress,,"Proceedings of the 27th International Conference on Machine Learning
(ICML-10), June 21-24, 2010, Haifa, Israel",,,2010,proceedings,,,,,,,
3394,,,D-oids: {A} Model for Dynamic Data-Types,,"Egidio Astesiano and
Elena Zucca",1995,article,Mathematical Structures in Computer Science,2,5,http://dx.doi.org/10.1017/S0960129500000736,257--282,,
3395,,,Preface to Part {III} Adaptive Big Data Analytics,,Mika Sato{-}Ilic,2012,inproceedings,,,,http://dx.doi.org/10.1016/j.procs.2012.09.057,211,"Proceedings of the Complex Adaptive Systems 2012 Conference, Washington, DC, USA, November 14-16, 2012",DBLP:conf/complexsystems/2012
3396,,,"Parallel rough set based knowledge acquisition using MapReduce from
big data",,"Junbo Zhang and
Tianrui Li and
Yi Pan",2012,inproceedings,,,,http://doi.acm.org/10.1145/2351316.2351320,20--27,"Proceedings of the 1st International Workshop on Big Data, Streams
and Heterogeneous Source Mining: Algorithms, Systems, Programming
Models and Applications, BigMine 2012, Beijing, China, August 12, 2012",DBLP:conf/kdd/2012bigmine
3397,,,"Towards Programming Languages for Machine Learning and Data Mining
(Extended Abstract)",,"Luc De Raedt and
Siegfried Nijssen",2011,inproceedings,,,,http://dx.doi.org/10.1007/978-3-642-21916-0_3,25--32,"Foundations of Intelligent Systems - 19th International Symposium, {ISMIS} 2011, Warsaw, Poland, June 28-30, 2011. Proceedings",DBLP:conf/ismis/2011
3398,,,BigSur: {A} System For the Management of Earth Science Data,,"Paul Brown and
Michael Stonebraker",1995,inproceedings,,,,http://www.vldb.org/conf/1995/P720.PDF,720--728,"VLDB'95, Proceedings of 21th International Conference on Very Large
Data Bases, September 11-15, 1995, Zurich, Switzerland.",DBLP:conf/vldb/95
3399,,,A three-dimensional display for big data sets,,"Cheng{-}Long Ma and
Xufeng Shang and
Yubo Yuan",2012,inproceedings,,,,http://dx.doi.org/10.1109/ICMLC.2012.6359594,1541--1545,"International Conference on Machine Learning and Cybernetics, {ICMLC}
2012, Xian, Shaanxi, China, July 15-17, 2012, Proceedings",DBLP:conf/icmlc/2012
3400,,,The Design of a Multipurpose File of Thermodynamic Data,,Randolph C. Wilhoit,1980,article,Journal of Chemical Information and Computer Sciences,3,20,http://dx.doi.org/10.1021/ci60023a004,138--143,,
3401,,,Machine Learning Methods for High Level Cyber Situation Awareness,,"Thomas G. Dietterich and
Xinlong Bao and
Victoria Keiser and
Jianqiang Shen",2010,incollection,,,,http://dx.doi.org/10.1007/978-1-4419-0140-8_11,227--247,Cyber Situational Awareness - Issues and Research,DBLP:series/ais/46
3402,,,Feed following: the big data challenge in social applications,,"Adam Silberstein and
Ashwin Machanavajjhala and
Raghu Ramakrishnan",2011,inproceedings,,,,http://doi.acm.org/10.1145/1996413.1996414,1--6,"Proceedings of the First {ACM} {SIGMOD} Workshop on Databases and
Social Networks, DBSocial 2011, Athens, Greece, June 12, 2011",DBLP:conf/dbsocial/2011
3403,,,Using Machine-Learning Techniques for Plant Communities Classification,,"Ahmad A. M. Al{-}Modayan and
Mohammed Abdel Razek",2010,inproceedings,,,,,146--149,"Proceedings of the 2010 International Conference on Information {\&}
Knowledge Engineering, {IKE} 2010, July 12-15, 2010, Las Vegas Nevada, {USA}",DBLP:conf/ike/2010
3404,Springer,3-540-27967-9,"Data Integration in the Life Sciences, Second InternationalWorkshop, {DILS} 2005, San Diego, CA, USA, July 20-22, 2005, Proceedings",Lecture Notes in Computer Science,,2005,proceedings,,,3615,,,,
3405,Springer,3-540-21300-7,"Data Integration in the Life Sciences, First International Workshop, {DILS} 2004, Leipzig, Germany, March 25-26, 2004, Proceedings",Lecture Notes in Computer Science,,2004,proceedings,,,2994,,,,
3406,,,Ecg Data Compression Using Fast Walsh Transform and its Clinical Acceptability,,"P. K. Kulkarni and
Vinod Kumar and
H. K. Verma",1997,article,Int. J. Systems Science,8,28,http://dx.doi.org/10.1080/00207729708929443,831--836,,
3407,,,Test data for anomaly detection in the electricity infrastructure,,"John Bigham and
David Gamez and
Xuan Jin and
Chris I. Phillips",2006,article,IJCIS,4,2,http://dx.doi.org/10.1504/IJCIS.2006.011347,396--411,,
3408,,,"Data Interpolation: An Efficient Sampling Alternative for Big Data
Aggregation",,"Hadassa Daltrophe and
Shlomi Dolev and
Zvi Lotker",2012,article,CoRR,,abs/1210.3171,http://arxiv.org/abs/1210.3171,,,
3409,,,"An Investigation of Missing Data Methods for Classification Trees
Applied to Binary Response Data",,"Yufeng Ding and
Jeffrey S. Simonoff",2010,article,Journal of Machine Learning Research,,11,http://doi.acm.org/10.1145/1756006.1756012,131--170,,
3410,,,"Opportunistically supported ubiquitous localization: Machine learning
enhancements",,Michela Papandrea,2010,inproceedings,,,,http://dx.doi.org/10.1109/WOWMOM.2010.5534969,1--2,"11th {IEEE} International Symposium on a World of Wireless, Mobile
and Multimedia Networks, {WOWMOM} 2010, Montreal, QC, Canada, 14-17
June, 2010",DBLP:conf/wowmom/2010
3411,,,"Ontology-Based Partitioning of Data Steam for Web Mining: {A} Case
Study of Web Logs",,Jason J. Jung,2004,inproceedings,,,,http://dx.doi.org/10.1007/978-3-540-24685-5_31,247--254,"Computational Science - {ICCS} 2004, 4th International Conference, Krak{\'{o}}w, Poland, June 6-9, 2004, Proceedings, Part {I}",DBLP:conf/iccS/2004-1
3412,,,Data Mining for Supply Chain Management Complex Networks,,"Mahesh S. Raisinghani and
Manoj K. Singh",2005,incollection,,,,http://www.igi-global.com/Bookstore/Chapter.aspx?TitleId=14323,708--713,Encyclopedia of Information Science and Technology {(5} Volumes),DBLP:books/idea/Ency05
3413,Springer,3-540-40535-6,"Advances in Spatial and Temporal Databases, 8th International Symposium, {SSTD} 2003, Santorini Island, Greece, July 24-27, 2003, Proceedings",Lecture Notes in Computer Science,,2003,proceedings,,,2750,,,,
3414,,,"Large Margin Hierarchical Classification with Mutually Exclusive Class
Membership",,"Huixin Wang and
Xiaotong Shen and
Wei Pan",2011,article,Journal of Machine Learning Research,,12,http://dl.acm.org/citation.cfm?id=2078192,2721--2748,,
3415,,,"On the analysis and design of software for reinforcement learning, with a survey of existing systems",,"Tim Kovacs and
Robert Egginton",2011,article,Machine Learning,01-Feb,84,http://dx.doi.org/10.1007/s10994-011-5237-8,7--49,,
3416,,,Identifying Students' Inquiry Planning Using Machine Learning,,"Orlando Montalvo and
Ryan Shaun Joazeiro de Baker and
Michael A. Sao Pedro and
Adam Nakama and
Janice D. Gobert",2010,inproceedings,,,,http://educationaldatamining.org/EDM2010/uploads/proc/edm2010_submission_53.pdf,141--150,"Educational Data Mining 2010, The 3rd International Conference on
Educational Data Mining, Pittsburgh, PA, USA, June 11-13, 2010. Proceedings",DBLP:conf/edm/2010
3417,,,{FSVM-CIL:} Fuzzy Support Vector Machines for Class Imbalance Learning,,"Rukshan Batuwita and
Vasile Palade",2010,article,{IEEE} T. Fuzzy Systems,3,18,http://dx.doi.org/10.1109/TFUZZ.2010.2042721,558--571,,
3418,,,An Ontology for Semantic Integration of Life Science Web Databases,,"Zina Ben{-}Miled and
Yue W. Webster and
Yang Liu and
Nianhua Li",2003,article,Int. J. Cooperative Inf. Syst.,2,12,http://dx.doi.org/10.1142/S0218843003000747,275--294,,
3419,,,"A Parallel Online Regularized Least-squares Machine Learning Algorithm
for Future Multi-core Processors",,"Tapio Pahikkala and
Antti Airola and
Thomas Canhao Xu and
Pasi Liljeberg and
Hannu Tenhunen and
Tapio Salakoski",2011,inproceedings,,,,,590--599,"{PECCS} 2011 - Proceedings of the 1st International Conference on
Pervasive and Embedded Computing and Communication Systems, Vilamoura, Algarve, Portugal, 5-7 March, 2011",DBLP:conf/peccs/2011
3420,,,"Spatial Multi-Database Topological Continuity and Indexing: {A} Step
Towards Seamless {GIS} Data Interoperability",,Robert Laurini,1998,article,International Journal of Geographical Information Science,4,12,http://dx.doi.org/10.1080/136588198241842,373--402,,
3421,,,"Queueing Requirements in an Automatic Radar Target Detection System
Operating with a Narrow Bandwidth Data Link",,"David L. Bussard and
Richard D. Wilmot",1970,article,{IEEE} Trans. Systems Science and Cybernetics,2,6,http://dx.doi.org/10.1109/TSSC.1970.300280,81--91,,
3422,,,"Feature Extraction and Machine Learning on Symbolic Music using the
music21 Toolkit",,"Michael Scott Cuthbert and
Christopher Ariza and
Lisa Friedland",2011,inproceedings,,,,http://ismir2011.ismir.net/papers/PS3-6.pdf,387--392,"Proceedings of the 12th International Society for Music Information
Retrieval Conference, {ISMIR} 2011, Miami, Florida, USA, October 24-28, 2011",DBLP:conf/ismir/2011
3423,,,"Using machine learning to augment collaborative filtering of community
discussions",,"Michael Brennan and
Stacey Wrazien and
Rachel Greenstadt",2010,inproceedings,,,,http://doi.acm.org/10.1145/1838206.1838485,1569--1570,"9th International Conference on Autonomous Agents and Multiagent Systems
{(AAMAS} 2010), Toronto, Canada, May 10-14, 2010, Volume 1-3",DBLP:conf/atal/2010
3424,,,The {STAR} file: a new format for electronic data transfer and archiving,,Sydney R. Hall,1991,article,Journal of Chemical Information and Computer Sciences,2,31,http://dx.doi.org/10.1021/ci00002a020,326--333,,
3425,,,Positional uncertainty in manually digitized map data,,"Paul V. Bolstad and
Paul E. Gessler and
Thomas M. Lillesand",1990,article,International Journal of Geographical Information Science,4,4,http://dx.doi.org/10.1080/02693799008941555,399--412,,
